Player,Age,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Signed Using,Guaranteed
Allen Crabbe,27,$18500000,$18500000,,,,,Cap Space,$37000000
DeMarre Carroll,32,$15400000,,,,,,Cap Space,$15400000
Jared Dudley,33,$9530000,,,,,,Cap Space,$9530000
Joe Harris,27,$8333333,$7670000,,,,,Early Bird Rights,$16003333
D'Angelo Russell,23,$7019698,,,,,,1st round pick,$7019698
Ed Davis,30,$4449000,,,,,,Room Exception,$4449000
Rondae Hollis-Jefferson,24,$2470357,,,,,,1st Round pick,$2470357
Jarrett Allen,21,$2034120,$2376840,$3909902,,,,1st Round Pick,$4410960
Shabazz Napier,27,$1942422,$1845301,,,,,Cap Space,$1942422
Caris LeVert,24,$1702800,$2625718,,,,,1st Round pick,$4328518
Spencer Dinwiddie,26,$1656092,$10600000,$11400000,$12300000,,,Minimum Salary,$23656092
Dzanan Musa,20,$1632240,$1911600,$2002800,$3615054,,,1st Round Pick,$3543840
Rodions Kurucs,21,$1618320,$1699236,$1780152,$1861068,,,,$5097708
Treveon Graham,25,$1512601,$1645357,,,,,Minimum Salary,$1512601
Alan Williams,26, ,,,,,,Two-Way Contract, 
Theo Pinson,23, ,,,,,,Two-Way Contract, 
Dwight Howard,33,$18919725,,,,,,,$18919725
Kenneth Faried,29,$13764045,,,,,,,$13764045
Deron Williams,35,$5474787,$5474787,,,,,,$10949574
Greg Monroe,29,$2165481,,,,,,,$2165481
Mitch Creek,27,$94742,,,,,,,$94742
Tahjere McCall,24,$47371,,,,,,,$47371
Team Totals,,$118267134,$54348839,$19092854,$17776122,,,,$182305467
