StudentID,AttendanceDaysPossible,AbsentDays,UnexcusedAbsentDays,ExcusedAbsentDays,SegmentAttendanceRate
6083589,177,4,0,4,0.977
3387411,177,33,15,18,0.814
3890418,177,4,0,4,0.977
6940551,,,,,
6940551,177,11,1,10,0.938
6937589,177,1,0,1,0.994
3080731,177,33.5,20.5,13,0.811
3291781,180,8.5,6.5,2,0.953
7100001,180,42.5,39.5,3,0.764
6180554,177,1,0,1,0.994
7433342,177,6,0,6,0.966
7964154,180,7.17,7.17,0,0.96
6511588,177,10,3,7,0.944
6319413,177,4,1,3,0.977
3521418,177,4,2,2,0.977
7056321,180,1.17,0.33,0.83,0.994
3193417,162,48.73,25.22,23.51,0.699
3193417,13,0,0,0,1
7375107,180,9.03,3.37,5.67,0.95
3679744,177,19,0,19,0.893
6783703,180,21.5,9,12.5,0.881
3329758,177,6,0,6,0.966
3875753,177,2,1,1,0.989
7066547,,,,,
7066547,180,51.5,51.5,0,0.714
7827378,180,5.17,2.17,3,0.971
6101705,177,2,0,2,0.989
7674926,180,21.33,14,7.33,0.882
7246032,180,4.17,1.33,2.83,0.977
3864745,177,11,1,10,0.938
7809946,180,2.7,1.45,1.25,0.985
7540123,,,,,
7540123,170,48.2,47.87,0.33,0.716
3216414,,,,,
3216414,123,1.33,1.33,0,0.989
3317442,,,,,
3317442,180,23.4,23.4,0,0.87
3501780,180,28.17,6.17,22,0.844
3740413,177,7,1,6,0.96
7825381,180,12.5,4.83,7.67,0.931
3693794,177,3,0,3,0.983
7060255,,,,,
7060255,180,14.33,12,2.33,0.92
7365807,180,40.2,39.2,1,0.777
7589999,180,3.99,2.83,1.17,0.978
3315739,177,2.5,0,2.5,0.986
6701796,177,1.5,0,1.5,0.992
7587950,180,26.17,25.5,0.67,0.855
7866116,180,4.5,2.17,2.33,0.975
7541187,,,,,
7541187,180,10.5,1,9.5,0.942
3815730,177,7,0,7,0.96
3005781,177,9,2,7,0.949
7716106,180,20,5.33,14.67,0.889
7222208,88,34.5,34.5,0,0.608
7222208,92,8,7,1,0.913
3257412,177,7.67,4.67,3,0.957
3737416,174,7,0,7,0.96
3737416,3,0,0,0,1
7172169,180,16.5,1,15.5,0.908
3894799,180,1.71,1,0.71,0.991
7147322,180,3.83,3.83,0,0.979
3723793,,,,,
3723793,180,5,0.9,4.1,0.972
6337548,177,4,1,3,0.977
3378739,177,12,7,5,0.932
7188946,180,51.08,45.08,6,0.716
7088933,180,1.5,1.5,0,0.992
3645712,164,0,0,0,1
3645712,13,0,0,0,1
7199244,,,,,
7199244,180,22.5,15.5,7,0.875
7585849,177,5.83,4.83,1,0.967
6237454,177,6,0,6,0.966
7483667,,,,,
7483667,180,29,28,1,0.839
3116780,,,,,
3116780,177,7.5,1,6.5,0.958
7452225,,,,,
7452225,88,13.25,13,0.25,0.849
7452225,26,0,0,0,1
7452225,4,0,0,0,1
7452225,62,6.58,3.92,2.67,0.894
3485418,88,2,0,2,0.977
3485418,89,0,0,0,1
7290280,,,,,
7290280,180,28.67,27.47,1.2,0.841
3310790,177,6,0,6,0.966
7077960,180,34.56,33.39,1.17,0.808
3545447,,,,,
3545447,55,9.33,1.33,8,0.83
6078555,,,,,
6078555,26,0,0,0,1
6078555,,,,,
6078555,71,0,0,0,1
3201414,,,,,
3201414,27,0,0,0,1
6751776,177,1,0,1,0.994
7571651,180,12.67,10.67,2,0.93
6358530,180,3.75,1.75,2,0.979
6654770,177,1,0,1,0.994
3590442,88,1,0,1,0.989
3590442,89,0,0,0,1
3908752,177,3,0,3,0.983
6918700,180,23.83,7.33,16.5,0.868
7800851,,,,,
7800851,11,0,0,0,1
7800851,1,0,0,0,1
7800851,168,1,1,0,0.994
3988717,177,6,2,4,0.966
3618412,,,,,
3618412,180,18.67,14.33,4.33,0.896
3094412,,,,,
3094412,158,3,0,3,0.981
7121959,180,7.67,0.33,7.33,0.957
3572415,174,11,0,11,0.937
3572415,3,0,0,0,1
6861754,110,45,7,38,0.591
6861754,,,,,
6861754,41,7,0,7,0.829
7947292,,,,,
3928418,88,3,0,3,0.966
3928418,89,2,0,2,0.978
7987104,180,19.67,0,19.67,0.891
7466801,179,6.17,6.17,0,0.966
3869447,174,3,0,3,0.983
3869447,3,0,0,0,1
3677744,177,3,0,3,0.983
3345790,177,12,9,3,0.932
3444742,180,13.83,7.17,6.67,0.923
3472719,177,6,0,6,0.966
7336259,180,14.73,8.08,6.65,0.918
3629786,178,0.17,0.17,0,0.999
6415588,180,12.17,1,11.17,0.932
7617668,180,17.17,10.83,6.33,0.905
3463788,177,7,3,4,0.96
7164855,177,9.1,8.23,0.87,0.949
3368742,177,18,1,17,0.898
7517170,180,1,0,1,0.994
7184252,,,,,
7184252,34,17.14,17.14,0,0.496
3385410,174,3,1,2,0.983
3385410,3,0,0,0,1
3813412,,,,,
3813412,51,0,0,0,1
3231738,177,25,6,19,0.859
7750932,180,54.33,54.33,0,0.698
7947292,180,10.98,8.31,2.67,0.939
3132793,174,0,0,0,1
7232331,180,8,6,2,0.956
7190615,,,,,
7190615,,,,,
7190615,92,8.33,4.67,3.67,0.909
3263412,177,2,0,2,0.989
3462410,174,6,0,6,0.966
3462410,3,0,0,0,1
6041774,177,2,2,0,0.989
3936749,180,9.83,6.5,3.33,0.945
3326795,177,5,2,3,0.972
3824415,177,4,1,3,0.977
7328640,180,12,3,9,0.933
7328640,,,,,
3044745,177,6,0,6,0.966
7560338,174,90.3,78.63,11.67,0.481
3291713,174,0,0,0,1
3291713,3,0,0,0,1
3482715,177,1,0,1,0.994
7205860,180,22.5,8.67,13.83,0.875
7032867,180,14,4,10,0.922
6287424,177,0,0,0,1
3796413,177,4,0,4,0.977
7649602,180,11.67,3.83,7.83,0.935
7653113,180,49.58,33.58,16,0.725
3782783,,,,,
3782783,180,1,0.17,0.83,0.994
7307844,,,,,
7307844,180,10,1,9,0.944
3828411,177,22,10,12,0.876
3339413,177,20,1,19,0.887
3120780,177,13,0,13,0.927
7353300,180,7,4.83,2.17,0.961
3695710,180,33.5,15.5,18,0.814
3132793,3,0,0,0,1
3594732,176,22,2,20,0.875
6605400,,,,,
6605400,180,0.57,0.43,0.14,0.997
6027553,,,,,
6027553,180,0.2,0.2,0,0.999
6015515,177,14,1,13,0.921
3422796,177,14,10,4,0.921
7783253,,,,,
7783253,180,24,19.67,4.33,0.867
6104492,177,3,0,3,0.983
3545789,180,15.67,1,14.67,0.913
3612732,177,4,1,3,0.977
6961541,,,,,
6961541,176,0,0,0,1
3142418,,,,,
3142418,180,0,0,0,1
3950787,174,4,0,4,0.977
3950787,3,0,0,0,1
6568583,177,1,0,1,0.994
7447964,180,18.83,15.83,3,0.895
6010492,180,9.92,9.42,0.5,0.945
7715983,180,22.67,19.67,3,0.874
3653443,161,0,0,0,1
7331823,180,4.83,4.67,0.17,0.973
3123786,,,,,
3123786,180,10.71,6.43,4.29,0.941
3853714,180,1.17,0.17,1,0.994
6197457,,,,,
6197457,180,22.83,19.83,3,0.873
3197746,177,1,0,1,0.994
7068123,180,21.17,10.33,10.83,0.882
3494789,177,0,0,0,1
7375870,180,3,0.67,2.33,0.983
7990395,180,43.68,9.25,34.43,0.757
